,Action,Adventure,Comedy,Drama,Fantasy,Slice of Life,Romance,Sci-Fi,Shounen,Seinen,Shoujo,Josei,Isekai,Mecha,Psychological,Horror,Mystery,Sports,Supernatural,Historical,Music,Thriller,School,Ecchi,Harem,Military,Space,Parody,Samurai,Magic,Demons,Vampire,Police,Martial Arts,Game
Action,1.0,0.40185124,0.39452463,0.37209135,0.3450417,0.2928657,0.35441905,0.25946534,0.25533453,0.24734601,0.28488496,0.2631149,0.19861573,0.23988251,0.35664546,0.36080903,0.32426122,0.3693825,0.26973763,0.34461546,0.37058702,0.343556,0.35671487,0.28990114,0.28156364,0.35580498,0.33814538,0.30380374,0.28851235,0.39626205,0.2995035,0.27124396,0.37191954,0.374775,0.4667079
Adventure,0.40185124,1.0000001,0.45500073,0.3406462,0.47334838,0.3689161,0.42418575,0.31147373,0.20578891,0.24645966,0.23343727,0.19469321,0.2565688,0.14780837,0.3374313,0.4779946,0.42130044,0.3481285,0.3844067,0.23367774,0.38344848,0.53267086,0.34026235,0.26640594,0.33444655,0.30440718,0.28231943,0.2909096,0.2805192,0.4049024,0.2967296,0.3631578,0.2902012,0.30231845,0.47503704
Comedy,0.39452463,0.45500073,1.0,0.58902395,0.40126625,0.3406219,0.4470755,0.43262562,0.18422696,0.2764009,0.20357072,0.18838112,0.21925071,0.14619955,0.37206793,0.44200993,0.41461837,0.42346042,0.35098445,0.2961945,0.42357635,0.39224714,0.48179173,0.20024168,0.3903991,0.39712185,0.31633064,0.60251826,0.3216235,0.42764425,0.28312996,0.31022274,0.45031625,0.372209,0.48328096
Drama,0.37209135,0.3406462,0.58902395,0.99999994,0.38852358,0.2512694,0.4861768,0.3312872,0.14068672,0.15756503,0.20247957,0.25006783,0.20099594,0.19265747,0.45570123,0.3584268,0.36328483,0.44183445,0.37661612,0.30845648,0.36927742,0.40077996,0.42630354,0.17134944,0.35025883,0.28916973,0.29752594,0.3951643,0.20329502,0.37067544,0.22618341,0.25777406,0.35522187,0.292032,0.44834527
Fantasy,0.3450417,0.47334838,0.40126625,0.38852358,0.9999999,0.29434848,0.49886638,0.31432563,0.18537694,0.1694507,0.24531868,0.25119936,0.21828032,0.12451764,0.34604523,0.43108058,0.362921,0.44362968,0.51015013,0.29476556,0.32920575,0.47187966,0.3258384,0.15872562,0.38419682,0.33314854,0.24581546,0.28621322,0.2784851,0.56295717,0.35840997,0.31641,0.27825367,0.35272163,0.5117395
Slice of Life,0.2928657,0.3689161,0.3406219,0.2512694,0.29434848,1.0000002,0.19577101,0.32923502,0.19634975,0.09790689,0.21570319,0.15429762,0.17794143,0.11148684,0.21316883,0.3087641,0.21642128,0.19418508,0.25967437,0.18033725,0.24411201,0.27042454,0.22827652,0.19956195,0.22434676,0.20426151,0.32153988,0.2810353,0.23783782,0.23928829,0.19261682,0.30928087,0.16671535,0.1755825,0.33733904
Romance,0.35441905,0.42418575,0.4470755,0.4861768,0.49886638,0.19577101,1.0000002,0.31969458,0.1506062,0.20500572,0.24676467,0.26833135,0.19430226,0.19683507,0.42628962,0.41797048,0.38637257,0.3194231,0.3345666,0.28297412,0.39340663,0.42857283,0.3886245,0.19489342,0.42026773,0.32575136,0.31250808,0.26336527,0.28590095,0.36487874,0.29845315,0.3471902,0.30784756,0.24737264,0.35880646
Sci-Fi,0.25946534,0.31147373,0.43262562,0.3312872,0.31432563,0.32923502,0.31969458,1.0,0.14272961,0.19795235,0.17412479,0.17514087,0.102496214,0.11804982,0.2987585,0.28834426,0.3572318,0.35529512,0.45916048,0.27779558,0.40482274,0.46329728,0.39963597,0.2334097,0.19807576,0.44482738,0.4492411,0.28022885,0.32861528,0.2595827,0.27547732,0.3106492,0.35135305,0.3282033,0.27880794
Shounen,0.25533453,0.20578891,0.18422696,0.14068672,0.18537694,0.19634975,0.1506062,0.14272961,1.0000002,0.3876449,0.6635258,0.30874187,0.31600475,0.204442,0.10011083,0.16004974,0.23710966,0.20758301,0.20949468,0.23590341,0.20177177,0.17550652,0.22683346,0.32826698,0.25378686,0.18672615,0.15682521,0.16387212,0.38827807,0.21524322,0.16989693,0.15494797,0.22594233,0.24133897,0.17791088
Seinen,0.24734601,0.24645966,0.2764009,0.15756503,0.1694507,0.09790689,0.20500572,0.19795235,0.3876449,1.0000002,0.25127757,0.27814558,0.23545289,0.14978895,0.14976808,0.19608,0.24858122,0.19879013,0.18568626,0.23817612,0.17253478,0.2941997,0.2765141,0.37079108,0.20732471,0.20408832,0.21930957,0.18790105,0.24383497,0.18785954,0.25917184,0.32842535,0.2837785,0.19729973,0.20599416
